asset	url
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.MENU	resdb:///bba828dccfabfdba5e3639b92d6fcae70d1c9768ececc531fc653277bba7e45b.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.SELECT	resdb:///808f7323ed2eaba7d4e47fd91eace2cb8fc1d9f2f6d279febee12e20c92bfb8e.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.THUMBSTICK_PRESS	resdb:///b90bbb2268a68a7d95c444512ebcdc861973f01b43b1d5124197c6c8d25cbf64.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.X	resdb:///b543762fc978f5ace3c1d580d83ca82fd293d627807a9335015be8c65e74a275.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.Y	resdb:///b71a2be75077af2266c83c38b532a4bd63ee24f9d40b350446efab4628ca2841.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.baked_mesh0	resdb:///dea640e4e81e9f10a65d130e68052f16a13184501707a8131792879b75a31e85.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.controller	resdb:///b307d058dd76837180a05f8eb341624097df2ab161719a3866c2cab5704653b0.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.texture_0	resdb:///ec2dc46443de18abac1b1a762d051fc20368996e7bd8b9fc6f3bcf7224a0b6c5.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.texture_1	resdb:///f6aee6ba21eebdc08c4e0c6814fe730830c0e4d121ec54d8e55a6f135b86ad19.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.texture_2	resdb:///4616df75069ce7eb0eaabe8935ac0c1ba320b618e482e14c5291785d917e05f3.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_1.texture_3	resdb:///8ea4a6caf61bf8ae8ca4d861b93551b4c35481be94daec74ddb464f7ec652951.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.A	resdb:///f582a52833e1cd7efe7697e4054c681b445ea36cf745fb418448757dd3bb422a.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.B	resdb:///ce930449612c2cd981bf6fecef8ee10ab28cb501bb3a16ce817a43ccf7094434.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.BODY	resdb:///a65500d141fc1619b8e386c0072617e14bd940eb3db15a7224a0b9984ee12678.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.GRASP	resdb:///75a18a5eeca4c68c66999ce4aee957bb124e0248e6e24c0831bf30d0da4b0f5c.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.MENU	resdb:///f7021cb919fe1f7831a67a5ef3fb97222675d1d40260f8c52946cf8e7d059efc.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.SELECT	resdb:///3a38a366ce0a9e8f68c5604dcd182b789ee55b47d49bd7efa7cc3dc95af5572d.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.THUMBSTICK_PRESS	resdb:///812d65553d22b6bea48834f8689f44af24423ff5c0a0622122cff52e6869f482.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.baked_mesh0	resdb:///91ac04a06ebc67ab759bb67d7b554ff91d859c754eb62d0cb0de8c5e20b3eb85.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.controller	resdb:///42419673f568c19c9823b9f0b28d3598c8ac691ba77bf3935871950f07104372.brson
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.texture_0	resdb:///ec2dc46443de18abac1b1a762d051fc20368996e7bd8b9fc6f3bcf7224a0b6c5.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.texture_1	resdb:///f6aee6ba21eebdc08c4e0c6814fe730830c0e4d121ec54d8e55a6f135b86ad19.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.texture_2	resdb:///d8c38d308fa74f0cb455a6207e2be653d940fa7da7eea413d890bfe9474dd350.png
OfficialAssets.DeviceModels.HP_Reverb.controller_1642_1118_2.texture_3	resdb:///8ea4a6caf61bf8ae8ca4d861b93551b4c35481be94daec74ddb464f7ec652951.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.body	resdb:///17b45e92ba20556d1eb4395244a0cdc31c0d144ea9e1db091c107a0e24648d08.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.button_a	resdb:///ee830f0707cf927153a302a5e54151a538fe8fd7c7a823e1fcd711a43b8ac199.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.button_b	resdb:///01d7eaa6bc0579a665be47f29bee7380aca95b91118a533bd450e555220430fd.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.button_system	resdb:///3e48042bdd557fa6f656c0faa174e551d75829417c1ef29e29abbbf60e679968.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.gripsqueeze	resdb:///5bad9653fa4f37eed28c84b3ccda17c9482d9b4ab1be6a373d15cea693f33255.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.led_left	resdb:///5aa8b28813f700cc85c067f561f7444e751c900d28d4f413fe6343850052a6b3.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.status_left	resdb:///36918e88b5aa6486ff9f77747cf81ccbd2d95bb566d08d9d6179b54191ce83ba.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.status_left_1	resdb:///f55a0531711c564935aef03bcf7cd6aac1b4c096e3355e65607af2d9853b0f2d.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.thumbstick	resdb:///5e3af4392367c866c8ae6d638b8d90832200784e27400378eb3315c96ee16671.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.trackpad	resdb:///be520c112debd2ff2bcd5cbe61435571e91db29cdf1b8019fc5d9b644d48c196.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.trackpad_scroll_cut	resdb:///41aa5b5897658a042b05769646ad6e236347dfe1f27024ec570d8cd4a3ffdb0c.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.trackpad_scroll_wheel	resdb:///b35b0c2a54c1007adeb4ecbb89660aaf7c0276c4f95d6e5f09f38df8faea3761.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.trackpad_touch	resdb:///2633c48fcd0d8e6110118ffae09239e2b7a315af0b61e3ad80bfb245eb7ee9cb.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.trigger	resdb:///a70c7fc5d081b3497b72c69b164d405078237152f1b52f242126e7baca78958a.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.valve_controller_knu_1_0_left_	resdb:///93a4f112c3e54fc52e29341ac4414825c7d3aa3a971b41728316b09c4abdfe27.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.valve_controller_knu_1_0_left_diff	resdb:///ede54e1d1198a154b67ab4c115d010941d488e0a199d18dfc4050e1ce4db61d1.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.valve_controller_knu_1_0_left_spec	resdb:///0d8c38f7ca7506edac62e13c9ec73f01b151c12ea20e1a2c1f93f74f00cf87b2.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_left.valve_controller_knu_1_0_left_thumbnail	resdb:///4037c8b0899e35657b2fa7a726d2c4ac4f6273a866998296d376393a48018b58.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.body	resdb:///b767ccd95cc1df43c51d85b5409940c2215475ef34701c8e51df001a1d155e99.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.button_a	resdb:///6b8003747fc1e2cd94caa05db23d793453dce91c827ebcb5023f50dd20023920.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.button_b	resdb:///6b388adf0fc61ca93c6418a2220f43166d6ef155df9c3df4ba76a5baff2f185a.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.button_system	resdb:///6969282fe1b56c072db7bb7a4915499b87f1fb3d8898df5b3198e4d5bce9e53a.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.gripsqueeze	resdb:///7cb50706d99a1414034b7b8e67a1256507f7be3a9db45bd44488e3d48ca10d5b.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.led_right	resdb:///05ca2512bf03bc8aba72b6c6219f305738e0f3fafe290bac4272a50423ee585c.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.status_right	resdb:///012a30e66c930d286ebb2c5fa094bea8e1d94fa0f72d10d35656cbba17c6f3f6.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.status_right_1	resdb:///f55a0531711c564935aef03bcf7cd6aac1b4c096e3355e65607af2d9853b0f2d.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.thumbstick	resdb:///a8b84a475e74fba5285589d48da9300d313f5df96c0e97d79b137a566785c396.brson
